path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time
tweets_2018/tweets_2018-10/25/tweets2018-10-25-09-00.jsonl,file, 134.78M,rwxr-xr-x,2018-12-28T23:02:47Z,hduser,datalab2,2065,1,0,304291729,4096,276040,0,0,2018-12-28T23:02:45Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-10-00.jsonl,file, 160.03M,rwxr-xr-x,2018-12-28T23:02:35Z,hduser,datalab2,2065,1,0,304291718,4096,327744,0,0,2018-12-28T23:02:34Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-11-00.jsonl,file, 182.95M,rwxr-xr-x,2018-12-28T23:02:14Z,hduser,datalab2,2065,1,0,304291705,4096,374696,0,0,2018-12-28T23:02:12Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-12-00.jsonl,file, 225.83M,rwxr-xr-x,2018-12-28T23:02:03Z,hduser,datalab2,2065,1,0,304291696,4096,462504,0,0,2018-12-28T23:02:01Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-13-00.jsonl,file, 266.84M,rwxr-xr-x,2018-12-28T23:03:02Z,hduser,datalab2,2065,1,0,304291740,4096,546504,0,0,2018-12-28T23:03:00Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-14-00.jsonl,file, 301.8M,rwxr-xr-x,2018-12-28T23:03:17Z,hduser,datalab2,2065,1,0,304291751,4096,618080,0,0,2018-12-28T23:03:14Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-15-00.jsonl,file, 327.63M,rwxr-xr-x,2018-12-28T23:02:17Z,hduser,datalab2,2065,1,0,304291706,4096,671e3,0,0,2018-12-28T23:02:14Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-16-00.jsonl,file, 418.31M,rwxr-xr-x,2018-12-28T23:02:26Z,hduser,datalab2,2065,1,0,304291710,4096,856696,0,0,2018-12-28T23:02:22Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-17-00.jsonl,file, 423.99M,rwxr-xr-x,2018-12-28T23:01:24Z,hduser,datalab2,2065,1,0,304291666,4096,868328,0,0,2018-12-28T23:01:19Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-18-00.jsonl,file, 378.54M,rwxr-xr-x,2018-12-28T23:01:58Z,hduser,datalab2,2065,1,0,304291690,4096,775264,0,0,2018-12-28T23:01:54Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-19-00.jsonl,file, 373.99M,rwxr-xr-x,2018-12-28T23:01:31Z,hduser,datalab2,2065,1,0,304291671,4096,765928,0,0,2018-12-28T23:01:27Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-20-00.jsonl,file, 381.89M,rwxr-xr-x,2018-12-28T23:02:59Z,hduser,datalab2,2065,1,0,304291738,4096,782120,0,0,2018-12-28T23:02:55Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-21-00.jsonl,file, 347.34M,rwxr-xr-x,2018-12-28T23:01:36Z,hduser,datalab2,2065,1,0,304291673,4096,711352,0,0,2018-12-28T23:01:32Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-22-00.jsonl,file, 328.06M,rwxr-xr-x,2018-12-28T23:02:41Z,hduser,datalab2,2065,1,0,304291723,4096,671872,0,0,2018-12-28T23:02:38Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/25/tweets2018-10-25-23-00.jsonl,file, 313.62M,rwxr-xr-x,2018-12-28T23:01:46Z,hduser,datalab2,2065,1,0,304291680,4096,642304,0,0,2018-12-28T23:01:43Z,2019-04-10T10:46:43Z,2019-04-10T10:46:43Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-00-00.jsonl,file, 311.12M,rwxr-xr-x,2018-12-28T23:34:12Z,hduser,datalab2,2065,1,0,304293178,4096,637176,0,0,2018-12-28T23:34:09Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-01-00.jsonl,file, 350.97M,rwxr-xr-x,2018-12-28T23:33:27Z,hduser,datalab2,2065,1,0,304293152,4096,718792,0,0,2018-12-28T23:33:23Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-02-00.jsonl,file, 363.53M,rwxr-xr-x,2018-12-28T23:34:16Z,hduser,datalab2,2065,1,0,304293179,4096,744512,0,0,2018-12-28T23:34:12Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-03-00.jsonl,file, 372.74M,rwxr-xr-x,2018-12-28T23:33:19Z,hduser,datalab2,2065,1,0,304293148,4096,763368,0,0,2018-12-28T23:33:15Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-04-00.jsonl,file, 334.48M,rwxr-xr-x,2018-12-28T23:32:51Z,hduser,datalab2,2065,1,0,304293126,4096,685024,0,0,2018-12-28T23:32:48Z,2019-04-10T10:46:45Z,2019-04-10T10:46:45Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-05-00.jsonl,file, 268.38M,rwxr-xr-x,2018-12-28T23:34:50Z,hduser,datalab2,2065,1,0,304293205,4096,549648,0,0,2018-12-28T23:34:47Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-06-00.jsonl,file, 219.86M,rwxr-xr-x,2018-12-28T23:33:09Z,hduser,datalab2,2065,1,0,304293140,4096,450280,0,0,2018-12-28T23:33:07Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-07-00.jsonl,file, 209.27M,rwxr-xr-x,2018-12-28T23:34:35Z,hduser,datalab2,2065,1,0,304293196,4096,428584,0,0,2018-12-28T23:34:33Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-08-00.jsonl,file, 201.47M,rwxr-xr-x,2018-12-28T23:34:47Z,hduser,datalab2,2065,1,0,304293204,4096,412616,0,0,2018-12-28T23:34:45Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-09-00.jsonl,file, 194.01M,rwxr-xr-x,2018-12-28T23:34:54Z,hduser,datalab2,2065,1,0,304293208,4096,397336,0,0,2018-12-28T23:34:52Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-10-00.jsonl,file, 220.34M,rwxr-xr-x,2018-12-28T23:33:55Z,hduser,datalab2,2065,1,0,304293167,4096,451264,0,0,2018-12-28T23:33:53Z,2019-04-10T10:46:44Z,2019-04-10T10:46:44Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-11-00.jsonl,file, 254.72M,rwxr-xr-x,2018-12-28T23:34:05Z,hduser,datalab2,2065,1,0,304293176,4096,521680,0,0,2018-12-28T23:34:03Z,2019-04-10T10:46:45Z,2019-04-10T10:46:45Z
tweets_2018/tweets_2018-10/26/tweets2018-10-26-12-00.jsonl,file, 313.75M,rwxr-xr-x,2018-12-28T23:33:46Z,hduser,datalab2,2065,1,0,304293162,4096,642552,0,0,2018-12-28T23:33:43Z,2019-04-10T10:46:45Z,2019-04-10T10:46:45Z
